,GEOID,NAME,STATE_NAME,climate
182,13093,Dooly,Georgia,Hot-Humid
183,13095,Dougherty,Georgia,Hot-Humid
184,13097,Douglas,Georgia,Mixed-Humid
185,13099,Early,Georgia,Hot-Humid
186,13103,Effingham,Georgia,Hot-Humid
187,13105,Elbert,Georgia,Mixed-Humid
188,13107,Emanuel,Georgia,Hot-Humid
189,13109,Evans,Georgia,Hot-Humid
190,13111,Fannin,Georgia,Mixed-Humid
191,13113,Fayette,Georgia,Mixed-Humid
192,13115,Floyd,Georgia,Mixed-Humid
193,13117,Forsyth,Georgia,Mixed-Humid
194,13119,Franklin,Georgia,Mixed-Humid
195,13121,Fulton,Georgia,Mixed-Humid
196,13123,Gilmer,Georgia,Mixed-Humid
197,13127,Glynn,Georgia,Hot-Humid
198,13129,Gordon,Georgia,Mixed-Humid
199,13131,Grady,Georgia,Hot-Humid
200,13133,Greene,Georgia,Mixed-Humid
201,13135,Gwinnett,Georgia,Mixed-Humid
202,13137,Habersham,Georgia,Mixed-Humid
203,13139,Hall,Georgia,Mixed-Humid
204,13141,Hancock,Georgia,Mixed-Humid
205,13143,Haralson,Georgia,Mixed-Humid
206,13145,Harris,Georgia,Mixed-Humid
207,13147,Hart,Georgia,Mixed-Humid
208,13149,Heard,Georgia,Mixed-Humid
209,13151,Henry,Georgia,Mixed-Humid
210,13153,Houston,Georgia,Hot-Humid
211,13155,Irwin,Georgia,Hot-Humid
212,13157,Jackson,Georgia,Mixed-Humid
213,13159,Jasper,Georgia,Mixed-Humid
214,13161,Jeff Davis,Georgia,Hot-Humid
215,13163,Jefferson,Georgia,Mixed-Humid
216,13165,Jenkins,Georgia,Hot-Humid
217,13167,Johnson,Georgia,Hot-Humid
218,13169,Jones,Georgia,Mixed-Humid
219,13171,Lamar,Georgia,Mixed-Humid
220,13173,Lanier,Georgia,Hot-Humid
221,13175,Laurens,Georgia,Hot-Humid
222,13177,Lee,Georgia,Hot-Humid
223,13179,Liberty,Georgia,Hot-Humid
224,13181,Lincoln,Georgia,Mixed-Humid
225,13183,Long,Georgia,Hot-Humid
226,13185,Lowndes,Georgia,Hot-Humid
227,13187,Lumpkin,Georgia,Mixed-Humid
228,13189,McDuffie,Georgia,Mixed-Humid
229,13191,McIntosh,Georgia,Hot-Humid
230,13193,Macon,Georgia,Hot-Humid
231,13195,Madison,Georgia,Mixed-Humid
232,13199,Meriwether,Georgia,Mixed-Humid
233,13201,Miller,Georgia,Hot-Humid
234,13205,Mitchell,Georgia,Hot-Humid
235,13207,Monroe,Georgia,Mixed-Humid
236,13209,Montgomery,Georgia,Hot-Humid
237,13211,Morgan,Georgia,Mixed-Humid
238,13213,Murray,Georgia,Mixed-Humid
239,13215,Muscogee,Georgia,Mixed-Humid
240,13217,Newton,Georgia,Mixed-Humid
241,13219,Oconee,Georgia,Mixed-Humid
242,13221,Oglethorpe,Georgia,Mixed-Humid
243,13223,Paulding,Georgia,Mixed-Humid
244,13225,Peach,Georgia,Hot-Humid
245,13227,Pickens,Georgia,Mixed-Humid
246,13229,Pierce,Georgia,Hot-Humid
247,13231,Pike,Georgia,Mixed-Humid
248,13233,Polk,Georgia,Mixed-Humid
249,13235,Pulaski,Georgia,Hot-Humid
250,13237,Putnam,Georgia,Mixed-Humid
251,13241,Rabun,Georgia,Mixed-Humid
252,13243,Randolph,Georgia,Hot-Humid
253,13245,Richmond,Georgia,Mixed-Humid
254,13247,Rockdale,Georgia,Mixed-Humid
255,13251,Screven,Georgia,Hot-Humid
256,13253,Seminole,Georgia,Hot-Humid
257,13255,Spalding,Georgia,Mixed-Humid
258,13257,Stephens,Georgia,Mixed-Humid
259,13259,Stewart,Georgia,Hot-Humid
260,13261,Sumter,Georgia,Hot-Humid
261,13267,Tattnall,Georgia,Hot-Humid
262,13269,Taylor,Georgia,Hot-Humid
263,13271,Telfair,Georgia,Hot-Humid
264,13273,Terrell,Georgia,Hot-Humid
265,13275,Thomas,Georgia,Hot-Humid
266,13277,Tift,Georgia,Hot-Humid
267,13279,Toombs,Georgia,Hot-Humid
268,13281,Towns,Georgia,Mixed-Humid
269,13283,Treutlen,Georgia,Hot-Humid
270,13285,Troup,Georgia,Mixed-Humid
271,13287,Turner,Georgia,Hot-Humid
272,13289,Twiggs,Georgia,Hot-Humid
273,13291,Union,Georgia,Mixed-Humid
274,13293,Upson,Georgia,Mixed-Humid
275,13295,Walker,Georgia,Mixed-Humid
276,13297,Walton,Georgia,Mixed-Humid
277,13299,Ware,Georgia,Hot-Humid
278,13303,Washington,Georgia,Mixed-Humid
279,13305,Wayne,Georgia,Hot-Humid
280,13309,Wheeler,Georgia,Hot-Humid
281,13311,White,Georgia,Mixed-Humid
282,13313,Whitfield,Georgia,Mixed-Humid
283,13315,Wilcox,Georgia,Hot-Humid
284,13317,Wilkes,Georgia,Mixed-Humid
285,13319,Wilkinson,Georgia,Mixed-Humid
286,13321,Worth,Georgia,Hot-Humid
287,16001,Ada,Idaho,Cold/Very cold
288,16005,Bannock,Idaho,Cold/Very cold
289,16009,Benewah,Idaho,Cold/Very cold
290,16011,Bingham,Idaho,Cold/Very cold
291,16013,Blaine,Idaho,Cold/Very cold
292,16017,Bonner,Idaho,Cold/Very cold
293,16019,Bonneville,Idaho,Cold/Very cold
294,16021,Boundary,Idaho,Cold/Very cold
295,16027,Canyon,Idaho,Cold/Very cold
296,16029,Caribou,Idaho,Cold/Very cold
297,16031,Cassia,Idaho,Cold/Very cold
298,16035,Clearwater,Idaho,Cold/Very cold
299,16039,Elmore,Idaho,Cold/Very cold
300,16041,Franklin,Idaho,Cold/Very cold
301,16043,Fremont,Idaho,Cold/Very cold
302,16045,Gem,Idaho,Cold/Very cold
303,16047,Gooding,Idaho,Cold/Very cold
304,16049,Idaho,Idaho,Cold/Very cold
305,16051,Jefferson,Idaho,Cold/Very cold
306,16053,Jerome,Idaho,Cold/Very cold
307,16055,Kootenai,Idaho,Cold/Very cold
308,16057,Latah,Idaho,Cold/Very cold
309,16059,Lemhi,Idaho,Cold/Very cold
310,16063,Lincoln,Idaho,Cold/Very cold
311,16065,Madison,Idaho,Cold/Very cold
312,16067,Minidoka,Idaho,Cold/Very cold
313,16069,Nez Perce,Idaho,Cold/Very cold
314,16073,Owyhee,Idaho,Cold/Very cold
315,16075,Payette,Idaho,Cold/Very cold
316,16077,Power,Idaho,Cold/Very cold
317,16079,Shoshone,Idaho,Cold/Very cold
318,16081,Teton,Idaho,Cold/Very cold
319,16083,Twin Falls,Idaho,Cold/Very cold
320,16085,Valley,Idaho,Cold/Very cold
321,16087,Washington,Idaho,Cold/Very cold
322,17001,Adams,Illinois,Cold/Very cold
323,17005,Bond,Illinois,Mixed-Humid
324,17007,Boone,Illinois,Cold/Very cold
325,17009,Brown,Illinois,Cold/Very cold
326,17011,Bureau,Illinois,Cold/Very cold
327,17015,Carroll,Illinois,Cold/Very cold
328,17017,Cass,Illinois,Cold/Very cold
329,17019,Champaign,Illinois,Cold/Very cold
330,17021,Christian,Illinois,Mixed-Humid
331,17023,Clark,Illinois,Cold/Very cold
332,17025,Clay,Illinois,Mixed-Humid
333,17027,Clinton,Illinois,Mixed-Humid
334,17029,Coles,Illinois,Cold/Very cold
335,17031,Cook,Illinois,Cold/Very cold
336,17033,Crawford,Illinois,Mixed-Humid
337,17035,Cumberland,Illinois,Cold/Very cold
338,17037,DeKalb,Illinois,Cold/Very cold
339,17039,De Witt,Illinois,Cold/Very cold
340,17041,Douglas,Illinois,Cold/Very cold
341,17043,DuPage,Illinois,Cold/Very cold
342,17045,Edgar,Illinois,Cold/Very cold
343,17047,Edwards,Illinois,Mixed-Humid
344,17049,Effingham,Illinois,Mixed-Humid
345,17051,Fayette,Illinois,Mixed-Humid
346,17053,Ford,Illinois,Cold/Very cold
347,17055,Franklin,Illinois,Mixed-Humid
348,17057,Fulton,Illinois,Cold/Very cold
349,17061,Greene,Illinois,Cold/Very cold
350,17063,Grundy,Illinois,Cold/Very cold
351,17065,Hamilton,Illinois,Mixed-Humid
352,17067,Hancock,Illinois,Cold/Very cold
353,17073,Henry,Illinois,Cold/Very cold
354,17075,Iroquois,Illinois,Cold/Very cold
355,17077,Jackson,Illinois,Mixed-Humid
356,17079,Jasper,Illinois,Mixed-Humid
357,17081,Jefferson,Illinois,Mixed-Humid
358,17083,Jersey,Illinois,Cold/Very cold
359,17085,Jo Daviess,Illinois,Cold/Very cold
360,17087,Johnson,Illinois,Mixed-Humid
361,17089,Kane,Illinois,Cold/Very cold
362,17091,Kankakee,Illinois,Cold/Very cold
363,17093,Kendall,Illinois,Cold/Very cold
364,17095,Knox,Illinois,Cold/Very cold
365,17097,Lake,Illinois,Cold/Very cold
366,17099,LaSalle,Illinois,Cold/Very cold
367,17101,Lawrence,Illinois,Mixed-Humid
368,17103,Lee,Illinois,Cold/Very cold
369,17105,Livingston,Illinois,Cold/Very cold
370,17107,Logan,Illinois,Cold/Very cold
371,17109,McDonough,Illinois,Cold/Very cold
372,17111,McHenry,Illinois,Cold/Very cold
373,17113,McLean,Illinois,Cold/Very cold
374,17115,Macon,Illinois,Cold/Very cold
375,17117,Macoupin,Illinois,Mixed-Humid
376,17119,Madison,Illinois,Mixed-Humid
377,17121,Marion,Illinois,Mixed-Humid
378,17123,Marshall,Illinois,Cold/Very cold
379,17125,Mason,Illinois,Cold/Very cold
380,17127,Massac,Illinois,Mixed-Humid
381,17129,Menard,Illinois,Cold/Very cold
382,17131,Mercer,Illinois,Cold/Very cold
383,17133,Monroe,Illinois,Mixed-Humid
384,17135,Montgomery,Illinois,Mixed-Humid
385,17137,Morgan,Illinois,Cold/Very cold
386,17139,Moultrie,Illinois,Cold/Very cold
387,17141,Ogle,Illinois,Cold/Very cold
388,17143,Peoria,Illinois,Cold/Very cold
389,17145,Perry,Illinois,Mixed-Humid
390,17147,Piatt,Illinois,Cold/Very cold
391,17149,Pike,Illinois,Cold/Very cold
392,17153,Pulaski,Illinois,Mixed-Humid
393,17157,Randolph,Illinois,Mixed-Humid
394,17159,Richland,Illinois,Mixed-Humid
395,17161,Rock Island,Illinois,Cold/Very cold
396,17163,St. Clair,Illinois,Mixed-Humid
397,17165,Saline,Illinois,Mixed-Humid
398,17167,Sangamon,Illinois,Cold/Very cold
399,17169,Schuyler,Illinois,Cold/Very cold
400,17173,Shelby,Illinois,Mixed-Humid
401,17175,Stark,Illinois,Cold/Very cold
402,17177,Stephenson,Illinois,Cold/Very cold
403,17179,Tazewell,Illinois,Cold/Very cold
404,17181,Union,Illinois,Mixed-Humid
405,17183,Vermilion,Illinois,Cold/Very cold
406,17185,Wabash,Illinois,Mixed-Humid
407,17187,Warren,Illinois,Cold/Very cold
408,17189,Washington,Illinois,Mixed-Humid
409,17191,Wayne,Illinois,Mixed-Humid
410,17193,White,Illinois,Mixed-Humid
411,17195,Whiteside,Illinois,Cold/Very cold
412,17197,Will,Illinois,Cold/Very cold
413,17199,Williamson,Illinois,Mixed-Humid
414,17201,Winnebago,Illinois,Cold/Very cold
415,17203,Woodford,Illinois,Cold/Very cold
416,18001,Adams,Indiana,Cold/Very cold
417,18003,Allen,Indiana,Cold/Very cold
418,18005,Bartholomew,Indiana,Cold/Very cold
419,18007,Benton,Indiana,Cold/Very cold
420,18009,Blackford,Indiana,Cold/Very cold
421,18011,Boone,Indiana,Cold/Very cold
422,18013,Brown,Indiana,Mixed-Humid
423,18015,Carroll,Indiana,Cold/Very cold
424,18017,Cass,Indiana,Cold/Very cold
425,18019,Clark,Indiana,Mixed-Humid
426,18021,Clay,Indiana,Cold/Very cold
427,18023,Clinton,Indiana,Cold/Very cold
428,18025,Crawford,Indiana,Mixed-Humid
429,18027,Daviess,Indiana,Mixed-Humid
430,18029,Dearborn,Indiana,Mixed-Humid
431,18031,Decatur,Indiana,Cold/Very cold
432,18033,DeKalb,Indiana,Cold/Very cold
433,18035,Delaware,Indiana,Cold/Very cold
434,18037,Dubois,Indiana,Mixed-Humid
435,18039,Elkhart,Indiana,Cold/Very cold
436,18041,Fayette,Indiana,Cold/Very cold
437,18043,Floyd,Indiana,Mixed-Humid
438,18045,Fountain,Indiana,Cold/Very cold
439,18047,Franklin,Indiana,Cold/Very cold
440,18049,Fulton,Indiana,Cold/Very cold
441,18051,Gibson,Indiana,Mixed-Humid
442,18053,Grant,Indiana,Cold/Very cold
443,18055,Greene,Indiana,Mixed-Humid
444,18057,Hamilton,Indiana,Cold/Very cold
445,18059,Hancock,Indiana,Cold/Very cold
446,18061,Harrison,Indiana,Mixed-Humid
447,18063,Hendricks,Indiana,Cold/Very cold
448,18065,Henry,Indiana,Cold/Very cold
449,18067,Howard,Indiana,Cold/Very cold
450,18069,Huntington,Indiana,Cold/Very cold
451,18071,Jackson,Indiana,Mixed-Humid
452,18073,Jasper,Indiana,Cold/Very cold
453,18075,Jay,Indiana,Cold/Very cold
454,18077,Jefferson,Indiana,Mixed-Humid
455,18079,Jennings,Indiana,Mixed-Humid
456,18081,Johnson,Indiana,Cold/Very cold
457,18083,Knox,Indiana,Mixed-Humid
458,18085,Kosciusko,Indiana,Cold/Very cold
459,18087,LaGrange,Indiana,Cold/Very cold
460,18089,Lake,Indiana,Cold/Very cold
461,18091,LaPorte,Indiana,Cold/Very cold
462,18093,Lawrence,Indiana,Mixed-Humid
463,18095,Madison,Indiana,Cold/Very cold
464,18097,Marion,Indiana,Cold/Very cold
465,18099,Marshall,Indiana,Cold/Very cold
466,18101,Martin,Indiana,Mixed-Humid
467,18103,Miami,Indiana,Cold/Very cold
468,18105,Monroe,Indiana,Mixed-Humid
469,18107,Montgomery,Indiana,Cold/Very cold
470,18109,Morgan,Indiana,Cold/Very cold
471,18111,Newton,Indiana,Cold/Very cold
472,18113,Noble,Indiana,Cold/Very cold
473,18115,Ohio,Indiana,Mixed-Humid
474,18117,Orange,Indiana,Mixed-Humid
475,18119,Owen,Indiana,Cold/Very cold
476,18121,Parke,Indiana,Cold/Very cold
477,18123,Perry,Indiana,Mixed-Humid
478,18125,Pike,Indiana,Mixed-Humid
479,18127,Porter,Indiana,Cold/Very cold
480,18129,Posey,Indiana,Mixed-Humid
481,18131,Pulaski,Indiana,Cold/Very cold
482,18133,Putnam,Indiana,Cold/Very cold
483,18135,Randolph,Indiana,Cold/Very cold
484,18137,Ripley,Indiana,Mixed-Humid
485,18139,Rush,Indiana,Cold/Very cold
486,18141,St. Joseph,Indiana,Cold/Very cold
487,18143,Scott,Indiana,Mixed-Humid
488,18145,Shelby,Indiana,Cold/Very cold
489,18147,Spencer,Indiana,Mixed-Humid
490,18149,Starke,Indiana,Cold/Very cold
491,18151,Steuben,Indiana,Cold/Very cold
492,18153,Sullivan,Indiana,Mixed-Humid
493,18155,Switzerland,Indiana,Mixed-Humid
494,18157,Tippecanoe,Indiana,Cold/Very cold
495,18159,Tipton,Indiana,Cold/Very cold
496,18161,Union,Indiana,Cold/Very cold
497,18163,Vanderburgh,Indiana,Mixed-Humid
498,18165,Vermillion,Indiana,Cold/Very cold
499,18167,Vigo,Indiana,Cold/Very cold
500,18169,Wabash,Indiana,Cold/Very cold
501,18171,Warren,Indiana,Cold/Very cold
502,18173,Warrick,Indiana,Mixed-Humid
503,18175,Washington,Indiana,Mixed-Humid
504,18177,Wayne,Indiana,Cold/Very cold
505,18179,Wells,Indiana,Cold/Very cold
506,18181,White,Indiana,Cold/Very cold
507,18183,Whitley,Indiana,Cold/Very cold
508,19001,Adair,Iowa,Cold/Very cold
509,19005,Allamakee,Iowa,Cold/Very cold
510,19007,Appanoose,Iowa,Cold/Very cold
511,19011,Benton,Iowa,Cold/Very cold
512,19013,Black Hawk,Iowa,Cold/Very cold
513,19015,Boone,Iowa,Cold/Very cold
514,19017,Bremer,Iowa,Cold/Very cold
515,19019,Buchanan,Iowa,Cold/Very cold
516,19021,Buena Vista,Iowa,Cold/Very cold
517,19023,Butler,Iowa,Cold/Very cold
518,19025,Calhoun,Iowa,Cold/Very cold
519,19027,Carroll,Iowa,Cold/Very cold
520,19029,Cass,Iowa,Cold/Very cold
521,19031,Cedar,Iowa,Cold/Very cold
522,19033,Cerro Gordo,Iowa,Cold/Very cold
523,19035,Cherokee,Iowa,Cold/Very cold
524,19037,Chickasaw,Iowa,Cold/Very cold
525,19039,Clarke,Iowa,Cold/Very cold
526,19041,Clay,Iowa,Cold/Very cold
527,19043,Clayton,Iowa,Cold/Very cold
528,19045,Clinton,Iowa,Cold/Very cold
529,19047,Crawford,Iowa,Cold/Very cold
530,19049,Dallas,Iowa,Cold/Very cold
531,19051,Davis,Iowa,Cold/Very cold
532,19053,Decatur,Iowa,Cold/Very cold
533,19055,Delaware,Iowa,Cold/Very cold
534,19057,Des Moines,Iowa,Cold/Very cold
535,19059,Dickinson,Iowa,Cold/Very cold
536,19061,Dubuque,Iowa,Cold/Very cold
537,19063,Emmet,Iowa,Cold/Very cold
538,19065,Fayette,Iowa,Cold/Very cold
539,19067,Floyd,Iowa,Cold/Very cold
540,19069,Franklin,Iowa,Cold/Very cold
541,19071,Fremont,Iowa,Cold/Very cold
542,19073,Greene,Iowa,Cold/Very cold
543,19075,Grundy,Iowa,Cold/Very cold
544,19077,Guthrie,Iowa,Cold/Very cold
545,19079,Hamilton,Iowa,Cold/Very cold
546,19081,Hancock,Iowa,Cold/Very cold
547,19083,Hardin,Iowa,Cold/Very cold
548,19085,Harrison,Iowa,Cold/Very cold
549,19087,Henry,Iowa,Cold/Very cold
550,19089,Howard,Iowa,Cold/Very cold
551,19091,Humboldt,Iowa,Cold/Very cold
552,19093,Ida,Iowa,Cold/Very cold
553,19095,Iowa,Iowa,Cold/Very cold
554,19097,Jackson,Iowa,Cold/Very cold
555,19099,Jasper,Iowa,Cold/Very cold
556,19101,Jefferson,Iowa,Cold/Very cold
557,19103,Johnson,Iowa,Cold/Very cold
558,19105,Jones,Iowa,Cold/Very cold
559,19107,Keokuk,Iowa,Cold/Very cold
560,19109,Kossuth,Iowa,Cold/Very cold
561,19111,Lee,Iowa,Cold/Very cold
562,19113,Linn,Iowa,Cold/Very cold
563,19115,Louisa,Iowa,Cold/Very cold
564,19117,Lucas,Iowa,Cold/Very cold
565,19119,Lyon,Iowa,Cold/Very cold
566,19121,Madison,Iowa,Cold/Very cold
567,19123,Mahaska,Iowa,Cold/Very cold
568,19125,Marion,Iowa,Cold/Very cold
569,19127,Marshall,Iowa,Cold/Very cold
570,19129,Mills,Iowa,Cold/Very cold
571,19131,Mitchell,Iowa,Cold/Very cold
572,19133,Monona,Iowa,Cold/Very cold
573,19135,Monroe,Iowa,Cold/Very cold
574,19137,Montgomery,Iowa,Cold/Very cold
575,19139,Muscatine,Iowa,Cold/Very cold
576,19141,O'Brien,Iowa,Cold/Very cold
577,19143,Osceola,Iowa,Cold/Very cold
578,19145,Page,Iowa,Cold/Very cold
579,19147,Palo Alto,Iowa,Cold/Very cold
580,19149,Plymouth,Iowa,Cold/Very cold
581,19151,Pocahontas,Iowa,Cold/Very cold
582,19153,Polk,Iowa,Cold/Very cold
583,19155,Pottawattamie,Iowa,Cold/Very cold
584,19157,Poweshiek,Iowa,Cold/Very cold
585,19161,Sac,Iowa,Cold/Very cold
586,19163,Scott,Iowa,Cold/Very cold
587,19165,Shelby,Iowa,Cold/Very cold
588,19167,Sioux,Iowa,Cold/Very cold
589,19169,Story,Iowa,Cold/Very cold
590,19171,Tama,Iowa,Cold/Very cold
