"","fipscode","county","obesity_rate","smoke_rate"
"349",12037,"Franklin County",0.355,0.195230463
"350",12039,"Gadsden County",0.428,0.203735945
"351",12041,"Gilchrist County",0.377,0.212531577
"352",12043,"Glades County",0.364,0.204313039
"353",12045,"Gulf County",0.331,0.202093068
"354",12047,"Hamilton County",0.413,0.221285174
"355",12049,"Hardee County",0.385,0.191688825
"356",12051,"Hendry County",0.345,0.19793274
"357",12053,"Hernando County",0.318,0.192152231
"358",12055,"Highlands County",0.305,0.187349614
"359",12057,"Hillsborough County",0.244,0.174555444
"360",12059,"Holmes County",0.334,0.208577472
"361",12061,"Indian River County",0.263,0.154872156
"362",12063,"Jackson County",0.367,0.230552971
"363",12065,"Jefferson County",0.34,0.195750531
"364",12067,"Lafayette County",0.325,0.223019564
"365",12069,"Lake County",0.303,0.168458255
"366",12071,"Lee County",0.259,0.143438877
"367",12073,"Leon County",0.307,0.173275786
"368",12075,"Levy County",0.32,0.236173876
"369",12077,"Liberty County",0.393,0.235530174
"370",12079,"Madison County",0.352,0.206866967
"371",12081,"Manatee County",0.265,0.152186241
"372",12083,"Marion County",0.304,0.186650042
"373",12085,"Martin County",0.194,0.143212814
"374",12086,"Miami-Dade County",0.222,0.1647941
"375",12087,"Monroe County",0.215,0.171728985
"376",12089,"Nassau County",0.283,0.19388869
"377",12091,"Okaloosa County",0.27,0.184680311
"378",12093,"Okeechobee County",0.33,0.214602093
"379",12095,"Orange County",0.252,0.155998811
"380",12097,"Osceola County",0.301,0.177914101
"381",12099,"Palm Beach County",0.212,0.15916106
"382",12101,"Pasco County",0.316,0.186296132
"383",12103,"Pinellas County",0.254,0.16411542
"384",12105,"Polk County",0.371,0.19135509
"385",12107,"Putnam County",0.387,0.236204718
"386",12109,"St. Johns County",0.231,0.150590467
"387",12111,"St. Lucie County",0.298,0.180692826
"388",12113,"Santa Rosa County",0.301,0.192180477
"389",12115,"Sarasota County",0.214,0.150304722
"390",12117,"Seminole County",0.266,0.156420065
"391",12119,"Sumter County",0.293,0.122047154
"392",12121,"Suwannee County",0.384,0.225679564
"393",12123,"Taylor County",0.345,0.237879294
"394",12125,"Union County",0.369,0.232641385
"395",12127,"Volusia County",0.298,0.183601858
"396",12129,"Wakulla County",0.395,0.19240292
"397",12131,"Walton County",0.318,0.212400242
"398",12133,"Washington County",0.378,0.228987204
"399",13000,"Georgia",0.32,0.174537989
"400",13001,"Appling County",0.388,0.201894148
"401",13003,"Atkinson County",0.348,0.218222005
"402",13005,"Bacon County",0.374,0.19378871
"403",13007,"Baker County",0.352,0.171184046
"404",13009,"Baldwin County",0.371,0.198179384
"405",13011,"Banks County",0.341,0.177222783
"406",13013,"Barrow County",0.384,0.170835486
"407",13015,"Bartow County",0.314,0.191763664
"408",13017,"Ben Hill County",0.396,0.205624976
"409",13019,"Berrien County",0.394,0.200094973
"410",13021,"Bibb County",0.366,0.190669233
"411",13023,"Bleckley County",0.427,0.180191737
"412",13025,"Brantley County",0.329,0.197293575
"413",13027,"Brooks County",0.331,0.189068664
"414",13029,"Bryan County",0.351,0.165120963
"415",13031,"Bulloch County",0.3,0.193725038
"416",13033,"Burke County",0.345,0.205069477
"417",13035,"Butts County",0.337,0.19249375
"418",13037,"Calhoun County",0.273,0.236378937
"419",13039,"Camden County",0.391,0.168758822
"420",13043,"Candler County",0.496,0.216664777
"421",13045,"Carroll County",0.397,0.18040926
"422",13047,"Catoosa County",0.388,0.149983383
"423",13049,"Charlton County",0.354,0.193228261
"424",13051,"Chatham County",0.324,0.170801142
"425",13053,"Chattahoochee County",0.347,0.17965195
"426",13055,"Chattooga County",0.302,0.189376894
"427",13057,"Cherokee County",0.268,0.145634601
"428",13059,"Clarke County",0.24,0.201316948
"429",13061,"Clay County",0.359,0.241990041
"430",13063,"Clayton County",0.365,0.186288099
"431",13065,"Clinch County",0.519,0.236482121
"432",13067,"Cobb County",0.291,0.126340274
"433",13069,"Coffee County",0.347,0.197008058
"434",13071,"Colquitt County",0.377,0.209691525
"435",13073,"Columbia County",0.321,0.136919616
"436",13075,"Cook County",0.296,0.199113972
"437",13077,"Coweta County",0.288,0.157780116
"438",13079,"Crawford County",0.46,0.18076454
"439",13081,"Crisp County",0.381,0.213170853
"440",13083,"Dade County",0.406,0.155288989
"441",13085,"Dawson County",0.281,0.145976384
"442",13087,"Decatur County",0.271,0.191417266
"443",13089,"DeKalb County",0.263,0.158184321
"444",13091,"Dodge County",0.344,0.192031244
"445",13093,"Dooly County",0.382,0.195820008
"446",13095,"Dougherty County",0.373,0.216075532
"447",13097,"Douglas County",0.313,0.166399611
"448",13099,"Early County",0.435,0.210191099
"449",13101,"Echols County",0.278,0.190945517
"450",13103,"Effingham County",0.399,0.162798352
"451",13105,"Elbert County",0.401,0.178417362
"452",13107,"Emanuel County",0.277,0.21225065
"453",13109,"Evans County",0.314,0.192690896
"454",13111,"Fannin County",0.263,0.157159396
"455",13113,"Fayette County",0.292,0.128213859
"456",13115,"Floyd County",0.377,0.170058299
"457",13117,"Forsyth County",0.273,0.125461395
"458",13119,"Franklin County",0.327,0.183544441
"459",13121,"Fulton County",0.25,0.149255095
"460",13123,"Gilmer County",0.235,0.156376466
"461",13125,"Glascock County",0.256,0.173514465
"462",13127,"Glynn County",0.333,0.163922857
"463",13129,"Gordon County",0.296,0.180074667
"464",13131,"Grady County",0.343,0.190488994
"465",13133,"Greene County",0.331,0.168480146
"466",13135,"Gwinnett County",0.303,0.144951343
"467",13137,"Habersham County",0.256,0.163313558
"468",13139,"Hall County",0.326,0.156368431
"469",13141,"Hancock County",0.315,0.215611407
"470",13143,"Haralson County",0.234,0.175077137
"471",13145,"Harris County",0.359,0.136926708
"472",13147,"Hart County",0.328,0.175706718
"473",13149,"Heard County",0.384,0.175411731
"474",13151,"Henry County",0.36,0.15813825
"475",13153,"Houston County",0.397,0.171931633
"476",13155,"Irwin County",0.404,0.203376754
"477",13157,"Jackson County",0.296,0.156934327
"478",13159,"Jasper County",0.382,0.19118412
"479",13161,"Jeff Davis County",0.31,0.194255461
"480",13163,"Jefferson County",0.287,0.204761111
"481",13165,"Jenkins County",0.351,0.221680356
"482",13167,"Johnson County",0.416,0.183550687
"483",13169,"Jones County",0.347,0.161384759
"484",13171,"Lamar County",0.322,0.177387573
"485",13173,"Lanier County",0.376,0.204838938
"486",13175,"Laurens County",0.418,0.200032003
"487",13177,"Lee County",0.44,0.158839676
"488",13179,"Liberty County",0.376,0.189196008
"489",13181,"Lincoln County",0.242,0.171120477
"490",13183,"Long County",0.343,0.195165021
"491",13185,"Lowndes County",0.384,0.198492269
"492",13187,"Lumpkin County",0.347,0.173012866
"493",13189,"McDuffie County",0.241,0.192028456
"494",13191,"McIntosh County",0.303,0.171934082
"495",13193,"Macon County",0.318,0.215613965
"496",13195,"Madison County",0.335,0.172716996
"497",13197,"Marion County",0.334,0.186012094
"498",13199,"Meriwether County",0.333,0.18210307
"499",13201,"Miller County",0.237,0.180113538
"500",13205,"Mitchell County",0.345,0.204002886
"501",13207,"Monroe County",0.359,0.155557406
"502",13209,"Montgomery County",0.4,0.170945147
"503",13211,"Morgan County",0.347,0.152022347
"504",13213,"Murray County",0.343,0.178361364
"505",13215,"Muscogee County",0.385,0.200581429
"506",13217,"Newton County",0.386,0.17091541
"507",13219,"Oconee County",0.242,0.137441213
"508",13221,"Oglethorpe County",0.347,0.168930224
"509",13223,"Paulding County",0.34,0.155059483
"510",13225,"Peach County",0.374,0.178564164
"511",13227,"Pickens County",0.293,0.145775477
"512",13229,"Pierce County",0.362,0.182485122
"513",13231,"Pike County",0.343,0.149514816
"514",13233,"Polk County",0.378,0.178578879
"515",13235,"Pulaski County",0.419,0.183161394
"516",13237,"Putnam County",0.343,0.160057348
"517",13239,"Quitman County",0.29,0.181070919
"518",13241,"Rabun County",0.321,0.170165756
"519",13243,"Randolph County",0.361,0.213682242
"520",13245,"Richmond County",0.356,0.199044276
"521",13247,"Rockdale County",0.422,0.183283308
"522",13249,"Schley County",0.269,0.182946485
"523",13251,"Screven County",0.295,0.198960809
"524",13253,"Seminole County",0.307,0.179253904
"525",13255,"Spalding County",0.393,0.186915686
"526",13257,"Stephens County",0.372,0.172479024
"527",13259,"Stewart County",0.316,0.238776816
"528",13261,"Sumter County",0.367,0.207913204
"529",13263,"Talbot County",0.373,0.179527622
"530",13265,"Taliaferro County",0.356,0.207121521
"531",13267,"Tattnall County",0.433,0.204357988
"532",13269,"Taylor County",0.387,0.216311272
"533",13271,"Telfair County",0.251,0.209695064
"534",13273,"Terrell County",0.331,0.212558977
"535",13275,"Thomas County",0.325,0.178882538
"536",13277,"Tift County",0.36,0.188264051
"537",13279,"Toombs County",0.483,0.192793079
"538",13281,"Towns County",0.261,0.138649829
"539",13283,"Treutlen County",0.357,0.182804851
"540",13285,"Troup County",0.404,0.180431708
"541",13287,"Turner County",0.387,0.185656952
"542",13289,"Twiggs County",0.361,0.201375562
"543",13291,"Union County",0.27,0.136668229
"544",13293,"Upson County",0.266,0.181728427
"545",13295,"Walker County",0.366,0.171933869
"546",13297,"Walton County",0.284,0.172874619
"547",13299,"Ware County",0.363,0.190443587
"548",13301,"Warren County",0.577,0.196701617
"549",13303,"Washington County",0.364,0.200272977
"550",13305,"Wayne County",0.409,0.185465655
"551",13307,"Webster County",0.258,0.171078341
"552",13309,"Wheeler County",0.32,0.235061431
"553",13311,"White County",0.288,0.160531166
"554",13313,"Whitfield County",0.345,0.177482846
"555",13315,"Wilcox County",0.405,0.201720892
"556",13317,"Wilkes County",0.3,0.191772471
"557",13319,"Wilkinson County",0.354,0.181903495
"558",13321,"Worth County",0.51,0.182663997
"559",15000,"Hawaii",0.237,0.1279334
"560",15001,"Hawaii County",0.255,0.143276557
"561",15003,"Honolulu County",0.234,0.109995213
"562",15005,"Kalawao County",0.178,0.121951132
"563",15007,"Kauai County",0.215,0.127378115
"564",15009,"Maui County",0.24,0.123434338
"565",16000,"Idaho",0.293,0.143493365
"566",16001,"Ada County",0.256,0.119907007
"567",16003,"Adams County",0.305,0.14351932
"568",16005,"Bannock County",0.32,0.144240206
"569",16007,"Bear Lake County",0.264,0.131658724
"570",16009,"Benewah County",0.319,0.153251254
"571",16011,"Bingham County",0.312,0.142383435
"572",16013,"Blaine County",0.151,0.129026748
"573",16015,"Boise County",0.306,0.129466332
"574",16017,"Bonner County",0.258,0.136539226
"575",16019,"Bonneville County",0.29,0.135603049
"576",16021,"Boundary County",0.288,0.148705229
"577",16023,"Butte County",0.288,0.131650387
"578",16025,"Camas County",0.248,0.152223468
"579",16027,"Canyon County",0.349,0.141293096
"580",16029,"Caribou County",0.3,0.128878697
"581",16031,"Cassia County",0.376,0.135549461
"582",16033,"Clark County",0.284,0.171161094
"583",16035,"Clearwater County",0.323,0.134851757
"584",16037,"Custer County",0.279,0.142291653
"585",16039,"Elmore County",0.352,0.156042807
"586",16041,"Franklin County",0.335,0.132166618
"587",16043,"Fremont County",0.297,0.139738265
"588",16045,"Gem County",0.376,0.140711038
"589",16047,"Gooding County",0.337,0.146351842
"590",16049,"Idaho County",0.319,0.140885711
"591",16051,"Jefferson County",0.319,0.130688394
"592",16053,"Jerome County",0.318,0.148458886
"593",16055,"Kootenai County",0.264,0.142191699
"594",16057,"Latah County",0.238,0.135649026
"595",16059,"Lemhi County",0.24,0.152356957
"596",16061,"Lewis County",0.28,0.149408015
"597",16063,"Lincoln County",0.288,0.147771714
"598",16065,"Madison County",0.271,0.154911746
"599",16067,"Minidoka County",0.34,0.13838326
